id,name,author,country,gender,year,ISBN,price,update_date
636087e1fc13ae19890000c8,Witting LLC,Alric Spadazzi,Indonesia,Male,2009,029303844-9,$80.98,11/7/2016
636087e1fc13ae19890000c9,Schoen-Funk,Melinda Marston,Croatia,Non-binary,2005,467558456-X,$12.77,7/1/2022
636087e1fc13ae19890000ca,"Kunze, Russel and Leannon",Wendall Hacking,Bosnia and Herzegovina,Male,2005,033692657-X,$79.18,4/15/2018
636087e1fc13ae19890000cb,Smitham-Cole,Hurlee Dionisio,Lithuania,Male,1993,623337883-4,$18.55,7/1/2019
636087e1fc13ae19890000cc,"Huel, Halvorson and O'Connell",Brent Farnworth,Kazakhstan,Male,2011,579914938-6,$70.16,12/23/2018
636087e1fc13ae19890000cd,Murphy Inc,Cynthy Wyles,Portugal,Female,1996,530769696-5,$92.91,9/14/2019
636087e1fc13ae19890000ce,Simonis-Johns,Catherine Spinola,Venezuela,Female,2003,400012801-9,$65.19,8/18/2021
636087e1fc13ae19890000cf,O'Kon Group,Dennie Ashlin,Argentina,Female,2001,345271916-2,$69.14,10/30/2019
636087e1fc13ae19890000d0,Abernathy-Collier,Chuck Vaughten,Japan,Male,2010,571567863-3,$53.37,2/12/2022
636087e1fc13ae19890000d1,Hoeger-Wiza,Rodrique Franschini,Indonesia,Male,2006,775408930-0,$94.90,3/7/2016
636087e1fc13ae19890000d2,Hilll LLC,Neal Gemnett,China,Male,2007,820149262-5,$13.37,7/19/2019
636087e1fc13ae19890000d3,"Dietrich, Nicolas and Bruen",Sharl Rowett,Pakistan,Female,2005,197294999-3,$95.79,2/5/2022
636087e1fc13ae19890000d4,Torp LLC,Noelani Tripett,France,Polygender,2004,898953391-0,$85.18,2/2/2020
636087e1fc13ae19890000d5,Barton-Bartoletti,Phillipe Havik,China,Male,1991,947142191-8,$43.86,4/25/2019
636087e1fc13ae19890000d6,McLaughlin-Goldner,Kimball Kinson,China,Male,1994,323604921-9,$55.81,2/21/2017
636087e1fc13ae19890000d7,Cremin-Mraz,Constantine Brunger,Greece,Male,1998,204771095-2,$53.29,9/10/2020
636087e1fc13ae19890000d8,Davis and Sons,Julietta Hutchins,China,Female,1994,196575409-0,$47.31,6/9/2020
636087e1fc13ae19890000d9,Bernhard-Schultz,Ryann Deeley,China,Female,1989,149768941-4,$84.18,7/22/2016
636087e1fc13ae19890000da,Feeney Group,Bradan Bottinelli,Philippines,Male,2006,776667469-6,$99.96,9/4/2020
636087e1fc13ae19890000db,Leuschke-Kuhn,Maye Tommaseo,Indonesia,Female,1997,626578458-7,$76.01,11/27/2019
636087e1fc13ae19890000dc,Denesik Inc,Carlita Pauleau,Nigeria,Female,2002,132247438-9,$1.13,1/27/2019
636087e1fc13ae19890000dd,"Kozey, Zulauf and Fadel",Willi MacDuffie,Iran,Female,2005,536521520-6,$17.19,2/2/2022
636087e1fc13ae19890000de,Connelly-Boehm,Darius Gobel,Brazil,Bigender,2004,672158346-1,$62.89,8/13/2019
636087e1fc13ae19890000df,Harris-Hermiston,Rip Hardington,China,Genderfluid,1998,275715386-2,$57.80,12/28/2017
636087e1fc13ae19890000e0,Jacobi Inc,Tristam Chamney,France,Male,1987,508313810-7,$63.90,12/26/2016
636087e1fc13ae19890000e1,"Kirlin, Gerlach and Fisher",Cindelyn Maseyk,Indonesia,Female,1997,246001944-0,$47.81,1/28/2021
636087e1fc13ae19890000e2,Volkman-Johns,Sheena Hefferon,France,Female,2011,603199684-7,$82.02,1/17/2020
636087e1fc13ae19890000e3,"Rolfson, Bradtke and Keeling",Tressa Roake,Russia,Female,1991,266308661-4,$76.93,8/25/2019
636087e1fc13ae19890000e4,Dietrich-Quigley,Ganny Saldler,Brazil,Male,2000,801660752-7,$39.40,6/4/2022
636087e1fc13ae19890000e5,Lynch-Grant,Catriona Fareweather,South Korea,Female,2004,745062001-4,$33.68,3/13/2016
636087e1fc13ae19890000e6,Denesik-Tremblay,Lisbeth Strowthers,Botswana,Female,1992,959253385-7,$54.48,5/10/2018
636087e1fc13ae19890000e7,"Christiansen, Hilpert and Powlowski",Gasparo Peplow,China,Male,1998,372927378-7,$85.39,10/20/2019
636087e1fc13ae19890000e8,"Blick, Kuhic and Bradtke",Katrine Coryndon,Mongolia,Female,1996,204315390-0,$44.20,10/8/2022
636087e1fc13ae19890000e9,Crist Inc,Brynna Colleton,Uganda,Female,2007,435099372-X,$24.78,3/19/2016
636087e1fc13ae19890000ea,Wilderman-Bruen,Luce Oxborough,Germany,Female,1994,703878554-0,$37.18,5/30/2020
636087e1fc13ae19890000eb,Windler Inc,Emmye Iacobo,Norway,Female,1997,590929502-0,$75.54,12/24/2017
636087e1fc13ae19890000ec,"Lebsack, Mayert and Kirlin",Dale Blackater,China,Male,2010,194374730-X,$49.07,9/7/2021
636087e1fc13ae19890000ed,"Kirlin, Kunde and Price",Dulcia Pycock,Malaysia,Female,2011,857972330-2,$57.62,11/22/2015
636087e1fc13ae19890000ee,"Mante, Parker and Walker",Orsola Goodred,Poland,Female,2010,412955486-7,$73.07,5/10/2018
636087e1fc13ae19890000ef,Anderson-Gulgowski,Herby Crimpe,Canada,Male,1997,505083475-9,$90.95,11/19/2019
636087e1fc13ae19890000f0,Hodkiewicz-MacGyver,Eleanora Gut,Brazil,Female,2010,771077965-4,$59.65,9/7/2016
